date,open,high,low,close,volume
2024-01-10 09:15:00,19.0,28.8,13.1,15.5,4740255
2024-01-10 09:20:00,15.5,16.35,13.6,14.05,2682120
2024-01-10 09:25:00,14.05,14.65,9.7,9.8,3459375
2024-01-10 09:30:00,9.8,29.5,9.55,27.85,7966905
2024-01-10 09:35:00,27.85,34.0,17.65,25.35,6175905
2024-01-10 09:40:00,25.35,37.15,21.5,36.85,4235070
2024-01-10 09:45:00,36.85,37.75,18.2,21.95,5728095
2024-01-10 09:50:00,21.95,30.45,20.5,26.4,4524435
2024-01-10 09:55:00,26.4,29.7,20.25,27.15,3827715
2024-01-10 10:00:00,27.15,27.15,22.1,22.25,2633010
2024-01-10 10:05:00,22.25,26.3,19.1,23.1,3253980
2024-01-10 10:10:00,23.1,32.25,22.6,30.6,3501180
2024-01-10 10:15:00,30.6,45.25,28.9,35.15,8169210
2024-01-10 10:20:00,35.15,36.25,19.2,20.35,5282985
2024-01-10 10:25:00,20.35,21.35,15.8,20.3,5471475
2024-01-10 10:30:00,20.5,28.6,19.65,25.15,3771465
2024-01-10 10:35:00,25.15,26.15,22.65,24.7,2048010
2024-01-10 10:40:00,24.7,25.0,16.75,17.75,3458235
2024-01-10 10:45:00,17.75,18.95,11.9,13.0,4822080
2024-01-10 10:50:00,13.0,15.85,12.1,13.6,3348255
2024-01-10 10:55:00,13.6,15.7,11.8,12.6,3141870
2024-01-10 11:00:00,12.6,15.4,11.4,13.8,3440700
2024-01-10 11:05:00,13.8,14.0,10.85,11.85,3169335
2024-01-10 11:10:00,11.85,16.15,11.1,15.3,2705025
2024-01-10 11:15:00,15.3,17.1,12.4,13.9,3240030
2024-01-10 11:20:00,13.9,15.85,13.4,15.15,2353425
2024-01-10 11:25:00,15.15,18.2,12.2,13.35,4050720
2024-01-10 11:30:00,13.35,15.15,11.05,11.1,3155820
2024-01-10 11:35:00,11.1,17.5,10.75,16.55,4058010
2024-01-10 11:40:00,16.55,23.6,14.8,15.5,7036095
2024-01-10 11:45:00,15.15,17.95,12.45,14.35,3515160
2024-01-10 11:50:00,14.35,16.15,12.85,14.0,2942280
2024-01-10 11:55:00,14.0,15.0,12.1,14.05,2398260
2024-01-10 12:00:00,14.05,14.7,10.45,10.45,3117810
2024-01-10 12:05:00,10.45,10.85,7.9,9.6,5670135
2024-01-10 12:10:00,9.5,10.7,8.2,9.15,3892335
2024-01-10 12:15:00,9.15,9.6,8.45,8.65,2313150
2024-01-10 12:20:00,8.65,9.15,7.55,7.85,3244080
2024-01-10 12:25:00,7.85,9.1,7.65,9.0,2042640
2024-01-10 12:30:00,9.0,11.55,7.9,10.8,4286175
2024-01-10 12:35:00,10.7,11.15,8.65,10.4,3548865
2024-01-10 12:40:00,10.4,10.65,6.55,6.85,3870480
2024-01-10 12:45:00,6.85,9.8,3.9,6.7,12722295
2024-01-10 12:50:00,6.65,6.7,5.15,5.95,4132650
2024-01-10 12:55:00,5.95,6.25,4.9,5.6,2714505
2024-01-10 13:00:00,5.6,5.9,5.2,5.25,1814235
2024-01-10 13:05:00,5.35,7.0,4.85,5.45,3331425
2024-01-10 13:10:00,5.45,7.65,5.15,6.8,3505605
2024-01-10 13:15:00,6.7,7.95,5.05,6.0,3823410
2024-01-10 13:20:00,6.0,6.0,4.8,5.7,2575815
2024-01-10 13:25:00,5.7,6.0,4.9,5.8,2163450
2024-01-10 13:30:00,5.65,7.45,4.7,4.85,4179330
2024-01-10 13:35:00,4.85,5.35,4.4,5.0,2550450
2024-01-10 13:40:00,5.05,5.9,4.5,5.7,2851395
2024-01-10 13:45:00,5.7,5.8,4.05,4.6,3323610
2024-01-10 13:50:00,4.6,5.35,4.4,5.35,1623000
2024-01-10 13:55:00,5.25,14.75,5.1,12.7,13187310
2024-01-10 14:00:00,12.45,22.75,6.2,6.7,17606805
2024-01-10 14:05:00,6.7,7.8,4.95,7.1,9218655
2024-01-10 14:10:00,7.3,10.15,6.3,8.8,9694980
2024-01-10 14:15:00,8.8,12.15,7.4,9.3,11049720
2024-01-10 14:20:00,9.25,10.45,3.05,3.2,13355520
2024-01-10 14:25:00,3.25,4.25,2.7,4.05,10472325
2024-01-10 14:30:00,4.1,5.95,3.75,4.9,10893345
2024-01-10 14:35:00,4.9,8.9,4.6,6.5,19044015
2024-01-10 14:40:00,6.5,10.7,2.45,3.55,22344810
2024-01-10 14:45:00,3.55,3.55,1.25,1.75,11110605
2024-01-10 14:50:00,1.8,2.85,1.75,2.6,12605610
2024-01-10 14:55:00,2.6,2.6,1.55,1.8,9593925
2024-01-10 15:00:00,1.8,2.1,0.8,0.9,13801635
2024-01-10 15:05:00,0.95,1.05,0.25,0.4,7826655
2024-01-10 15:10:00,0.35,0.4,0.2,0.2,2285790
2024-01-10 15:15:00,0.25,0.25,0.1,0.1,1914945
2024-01-10 15:20:00,0.1,0.15,0.05,0.05,1896540
2024-01-10 15:25:00,0.1,0.1,0.05,0.05,1506885
