date,open,high,low,close,volume
2024-01-10 09:15:00,38.15,45.1,32.85,37.0,5610615
2024-01-10 09:20:00,37.0,39.45,31.85,34.1,3586935
2024-01-10 09:25:00,34.1,35.4,22.85,23.0,4609425
2024-01-10 09:30:00,23.0,70.0,22.5,67.1,9715725
2024-01-10 09:35:00,67.1,77.45,43.45,60.8,7254885
2024-01-10 09:40:00,60.8,86.4,52.85,85.7,5834940
2024-01-10 09:45:00,85.7,88.0,44.8,54.8,6626565
2024-01-10 09:50:00,54.8,73.55,51.05,65.05,5429235
2024-01-10 09:55:00,65.05,74.0,50.25,68.35,5327115
2024-01-10 10:00:00,68.35,68.35,55.05,56.15,3880380
2024-01-10 10:05:00,56.15,65.25,47.75,57.6,3890805
2024-01-10 10:10:00,57.6,80.0,56.35,77.2,4138755
2024-01-10 10:15:00,77.2,110.0,74.25,94.1,11732085
2024-01-10 10:20:00,94.1,96.95,57.25,60.7,8237775
2024-01-10 10:25:00,60.7,62.25,47.0,57.1,7370190
2024-01-10 10:30:00,57.1,77.0,55.9,67.8,6277560
2024-01-10 10:35:00,67.8,72.95,62.15,68.55,3670845
2024-01-10 10:40:00,68.55,69.5,47.8,49.35,5474415
2024-01-10 10:45:00,49.35,54.2,35.35,40.2,6395625
2024-01-10 10:50:00,40.2,45.0,34.95,37.65,4216065
2024-01-10 10:55:00,37.65,44.55,31.1,35.05,4786335
2024-01-10 11:00:00,35.05,44.15,30.8,38.3,4260765
2024-01-10 11:05:00,38.3,39.15,28.5,32.05,4829385
2024-01-10 11:10:00,32.05,45.05,29.65,42.7,4173525
2024-01-10 11:15:00,42.85,48.65,35.2,39.1,5796150
2024-01-10 11:20:00,39.1,45.0,37.8,42.7,3797400
2024-01-10 11:25:00,42.7,52.2,35.8,38.65,6004695
2024-01-10 11:30:00,38.65,42.8,31.65,32.2,4739145
2024-01-10 11:35:00,31.1,51.2,30.35,48.25,6563265
2024-01-10 11:40:00,48.25,70.0,45.4,47.4,10473465
2024-01-10 11:45:00,46.85,54.1,38.35,43.95,5127990
2024-01-10 11:50:00,43.45,49.2,38.45,42.1,4545615
2024-01-10 11:55:00,42.1,44.75,36.3,41.1,3868455
2024-01-10 12:00:00,41.1,43.75,31.15,31.25,5456400
2024-01-10 12:05:00,31.25,32.6,20.7,27.65,8751135
2024-01-10 12:10:00,27.15,32.8,24.6,27.65,4694970
2024-01-10 12:15:00,27.65,28.85,24.1,25.35,3010620
2024-01-10 12:20:00,25.35,28.4,22.4,24.0,4471365
2024-01-10 12:25:00,24.0,29.15,22.8,28.3,3245715
2024-01-10 12:30:00,28.3,37.3,24.5,33.6,6786765
2024-01-10 12:35:00,33.15,36.35,27.6,33.2,5708655
2024-01-10 12:40:00,33.2,34.4,19.8,20.55,7335150
2024-01-10 12:45:00,20.55,30.7,9.25,17.5,25169325
2024-01-10 12:50:00,17.25,17.85,13.35,16.2,7762770
2024-01-10 12:55:00,16.2,17.15,12.9,15.05,5705640
2024-01-10 13:00:00,15.05,16.9,13.65,14.85,4644750
2024-01-10 13:05:00,15.0,21.45,14.0,16.0,7898340
2024-01-10 13:10:00,16.0,24.55,14.7,21.0,8342910
2024-01-10 13:15:00,20.95,25.75,15.3,18.7,8768625
2024-01-10 13:20:00,18.7,19.85,14.45,17.9,5826570
2024-01-10 13:25:00,17.9,20.2,15.45,18.35,4517370
2024-01-10 13:30:00,18.0,25.1,14.15,14.7,10221915
2024-01-10 13:35:00,14.7,16.8,12.55,14.65,6530715
2024-01-10 13:40:00,15.05,18.8,12.05,18.2,6930720
2024-01-10 13:45:00,18.2,18.5,10.95,13.0,9103770
2024-01-10 13:50:00,12.95,16.85,12.45,16.8,5152020
2024-01-10 13:55:00,16.4,46.8,15.9,41.9,27324120
2024-01-10 14:00:00,41.75,71.3,21.95,23.25,27859485
2024-01-10 14:05:00,23.15,29.25,18.8,27.05,14565885
2024-01-10 14:10:00,27.65,37.7,22.85,33.05,14080965
2024-01-10 14:15:00,33.05,45.45,26.65,34.8,20338545
2024-01-10 14:20:00,34.55,38.15,12.4,13.25,21949440
2024-01-10 14:25:00,13.3,14.65,10.3,13.35,19764975
2024-01-10 14:30:00,13.35,23.3,11.85,18.6,19837830
2024-01-10 14:35:00,18.6,42.0,17.3,30.4,34603395
2024-01-10 14:40:00,30.4,49.0,13.15,18.7,39712380
2024-01-10 14:45:00,18.7,19.0,7.2,9.65,28914300
2024-01-10 14:50:00,9.9,22.05,9.8,20.2,34147650
2024-01-10 14:55:00,20.2,22.15,10.15,10.5,45257850
2024-01-10 15:00:00,10.5,23.7,8.6,23.55,74043735
2024-01-10 15:05:00,24.1,24.45,1.0,1.55,83320710
2024-01-10 15:10:00,1.55,1.7,0.35,0.45,30319095
2024-01-10 15:15:00,0.4,1.3,0.2,0.3,26107710
2024-01-10 15:20:00,0.35,0.45,0.05,0.05,20325900
2024-01-10 15:25:00,0.1,0.1,0.05,0.05,4648440
